stage,foldin_global_gram,foldin_reg,foldin_alpha,cf_bias,objective,full_ndcg@20,full_recall@20,full_coverage@20,cold5_ndcg@20,cold5_recall@20,cold5_coverage@20,cf_max,cf_half_life,popularity,quality
2,True,1.0,5.0,0.0,0.13569767226909962,0.17595880336155012,0.1772434819781182,0.4893,0.09543654117664915,0.09199465470030486,0.5711,0.8,2.0,0.15,0.1
2,True,1.0,5.0,0.0,0.13443622646719772,0.17554094874945675,0.17704929446628365,0.4284,0.09333150418493867,0.08969432427307814,0.5339,0.6,2.0,0.15,0.1
2,True,1.0,5.0,0.0,0.13414569760174333,0.1768728384635888,0.17863562527084198,0.4773,0.09141855673989786,0.08775331954766939,0.5189,0.8,5.0,0.15,0.1
2,True,1.0,5.0,0.0,0.13376678389446736,0.17396608126045998,0.17613357264940083,0.5151,0.09356748652847474,0.08951665645585924,0.5395,0.95,5.0,0.15,0.1
2,True,1.0,5.0,0.0,0.13372743472659143,0.1739664517972997,0.17538799163512783,0.507,0.09348841765588316,0.09017472267154929,0.59,0.8,2.0,0.15,0.0
2,True,1.0,5.0,0.0,0.13349682810029978,0.17181793505451834,0.17428834020726436,0.5233,0.0951757211460812,0.09158763892196554,0.5973,0.95,2.0,0.15,0.1
2,True,1.0,5.0,0.0,0.1316181130676149,0.17480633920468744,0.17627035608440406,0.4976,0.08842988693054235,0.0850736464429963,0.5355,0.8,5.0,0.15,0.0
2,True,1.0,5.0,0.0,0.13146998093858767,0.17274487242807812,0.17359043213408537,0.4454,0.09019508944909722,0.08674120690540968,0.5495,0.6,2.0,0.15,0.0
2,True,1.0,5.0,0.0,0.13122380111706,0.17165104456812913,0.17392044858306469,0.531,0.09079655766599086,0.08733320467372324,0.5544,0.95,5.0,0.15,0.0
2,True,1.0,5.0,0.0,0.13119343765013292,0.16942049531347636,0.17257608503897204,0.542,0.09296637998678949,0.09000570841267436,0.6189,0.95,2.0,0.15,0.0
1,True,1.0,5.0,0.0,0.13021348240100555,0.17407520270112958,0.17638039869916805,0.419,0.08635176210088155,0.08228011634048785,0.4953,,,,
2,True,1.0,5.0,0.0,0.13021348240100555,0.17407520270112958,0.17638039869916805,0.419,0.08635176210088155,0.08228011634048785,0.4953,0.6,5.0,0.15,0.1
1,True,0.1,5.0,0.0,0.13021282415173877,0.1740752001337316,0.17638039869916805,0.419,0.08635044816974594,0.08228011634048785,0.4953,,,,
1,True,10.0,5.0,0.0,0.13020862235580824,0.17406465719044734,0.17633039869916803,0.419,0.08635258752116913,0.08228011634048785,0.4956,,,,
1,True,1.0,1.0,0.0,0.13011289145926974,0.17368200228215983,0.17450621336867464,0.4295,0.08654378063637966,0.08273494437708834,0.4964,,,,
1,True,0.1,1.0,0.0,0.13011076473887562,0.17367897259727744,0.17450621336867464,0.4295,0.08654255688047383,0.08273494437708834,0.4964,,,,
